player_key,player_name,team_committed,deal_value,deal_count,sport_name,player_state,player_position,player_class_year
150001.0,Karter Knox,Arkansas,,3,Basketball,FL,SF,2024.0
150003.0,Cayden Boozer,Duke,,1,Basketball,FL,PG,2025.0
150016.0,David Sanders Jr.,Tennessee,,3,Football,NC,OT,2025.0
150021.0,Hansel Enmanuel,Austin Peay,,7,Basketball,FL,CG,2022.0
150026.0,Brandon High,California,,1,Football,TX,RB,2023.0
150054.0,Demario King,Old Dominion,,1,Football,CA,LB,2019.0
150056.0,Keyshawn Hall,Auburn,,1,Basketball,OH,PF,2022.0
150058.0,Max Abmas,Texas,,5,,TX,CG,2019.0
150061.0,Christian Anderson,Texas Tech,,1,Basketball,GA,PG,2024.0
150072.0,Mercy Miller,Houston,,2,Basketball,MN,SG,2024.0
150080.0,Jack Powers,East Carolina,,1,,CA,LB,2018.0
150109.0,Marquise Lightfoot,Miami,,1,Football,IL,EDGE,2024.0
150126.0,Cole Turner,Clemson,,1,Football,AL,WR,2022.0
150127.0,Jermaine Mathews,Ohio State,,4,Football,OH,CB,2023.0
150136.0,TJ Robinson,Wisconsin-Milwaukee,,1,Basketball,NJ,PG,2024.0
150146.0,Carson Rhodes,Iowa State,,1,Football,IA,OT,2023.0
150148.0,Devin Royal,Ohio State,,1,Basketball,OH,PF,2023.0
150170.0,Jadon Perlotte,Tennessee,,1,Football,GA,LB,2025.0
150181.0,Jordan Bass,Virginia Tech,,1,Football,VA,LB,2023.0
150186.0,Benjamin Hall,North Carolina,,3,Football,GA,RB,2023.0
150191.0,Devontae Armstrong,Ohio State,,1,Football,OH,IOL,2024.0
150207.0,Zy Crisler,Colorado,,2,Football,MS,IOL,2021.0
150209.0,Gabriel Williams,Virginia Tech,,2,Football,DC,LB,2024.0
150212.0,Gideon Davidson,Clemson,,1,Football,VA,RB,2025.0
150213.0,Aidan Mizell,Florida,,6,Football,FL,WR,2023.0
150220.0,Kyson Brown,Arizona State,,1,Football,TX,RB,2023.0
150238.0,Mario Craver,Texas A&M,,2,Football,AL,WR,2024.0
150242.0,Caleb Woodson,Virginia Tech,,1,Football,VA,LB,2023.0
150260.0,Jordan Mayer,Penn State,,1,Football,PA,EDGE,2023.0
150275.0,Jordan Burks,UCF,,2,Basketball,AL,SF,2023.0
150279.0,Daymion Sanford,Texas A&M,,1,Football,TX,LB,2023.0
150326.0,Tree Babalade,South Carolina,,1,Football,MD,OT,2023.0
150335.0,Armon Parker,Washington,,1,Football,MI,DL,2022.0
150336.0,Jayvon Parker,Washington,,1,Football,MI,DL,2022.0
150349.0,Arvell Reese,Ohio State,,2,Football,OH,LB,2023.0
150353.0,Dom Henry,Florida Atlantic,,1,Football,FL,WR,2022.0
150357.0,Riley Van Poppel,Nebraska,,1,Football,TX,DL,2023.0
150372.0,Christian Jones,Nebraska,,1,Football,NE,LB,2025.0
150382.0,Jay'Shaun Johnson,UTSA,,1,Football,LA,S,2024.0
150385.0,Liam Andrews,Penn State,,1,Football,MA,DL,2024.0
150389.0,Kamren Robinson,Virginia,,2,Football,VA,LB,2023.0
150407.0,Elija Lofton,Miami,,1,Football,NV,TE,2024.0
150409.0,CJ Fite,Arizona State,,1,Football,TX,DL,2023.0
150412.0,Coy Eakin,Texas Tech,,3,Football,TX,WR,2022.0
150425.0,Dartanyan Tinsley,Cincinnati,,1,,KY,IOL,2020.0
150427.0,Emmit Bohle,Arizona State,,2,,SD,OT,2018.0
150428.0,Garrison Phelps,Utah State,,1,Basketball,AZ,SF,2023.0
150432.0,Kaleb Mathis,Colorado,,1,,TX,WR,2023.0
150443.0,Michael Shanahan,Western Michigan,,1,,FL,IOL,2018.0
150445.0,Alex Harkey,Oregon,,1,,TX,OT,2020.0
