company_name,n_deals,n_unique_athletes,total_nil_value,avg_nil_value,top_school,top_position
Austin Marathon,6,6,0.0,0.0,Texas,EDGE
Austin ISD,6,5,0.0,0.0,BYU,S
AVOLI,6,6,0.0,0.0,Dayton,L
Hey Dude,6,6,0.0,0.0,Michigan,SG
Defiance Fuel,6,5,0.0,0.0,Middle Tennessee State,RB
The Lucile Packard Children’s Hospital,6,6,0.0,0.0,Stanford,WR
Seattle Children's Hospital,6,5,0.0,0.0,Utah,LB
Dell Medical Center,6,6,0.0,0.0,Texas,EDGE
GOAT,6,4,0.0,0.0,Oregon,SF
Onward Reserve,6,6,0.0,0.0,Kansas State,QB
Academy Sports + Outdoors,6,6,0.0,0.0,North Carolina,SF
Wheels Up,6,6,0.0,0.0,Ole Miss,QB
Activision,6,6,0.0,0.0,Kansas,RB
Ducks of a Feather,6,3,0.0,0.0,Oregon,S
South Bay Athletic Club,6,6,0.0,0.0,Penn State,WR
Youth Villages,6,6,0.0,0.0,Memphis,DL
Summit Agricultural Group,6,5,0.0,0.0,Iowa,S
Fowler Automotive Group,6,6,0.0,0.0,Oklahoma,IOL
Six Star Pro Nutrition,6,6,0.0,0.0,,PG
Pilot 24 Cards,6,6,0.0,0.0,Iowa,RB
YMCA of Metro Dallas,6,5,0.0,0.0,Rice,PG
Alba Botanica,6,6,0.0,0.0,Princeton,AT
Fletcher Jones Motorcars,6,6,0.0,0.0,Oklahoma,WR
Marathon,6,6,0.0,0.0,South Carolina,SG
Obsesh,6,6,0.0,0.0,NC State,QB
Indiana NIL Store,6,6,0.0,0.0,Indiana,CG
YMCA,6,6,0.0,0.0,Illinois,WR
College Hunks Hauling Junk & Moving,6,5,0.0,0.0,Florida,All
Father-Son Ann Arbor Football Camp,6,6,0.0,0.0,,OT
Ohio Suicide Prevention Foundation,6,5,0.0,0.0,Dayton,SG
In For Indiana,6,6,0.0,0.0,Indiana,SG
Stanford Cancer Center,6,6,0.0,0.0,Mississippi State,OT
Confidence Ford of Norman,6,6,0.0,0.0,Florida State,WR
WME Sports,6,6,0.0,0.0,St. John's,SF
Stanford Down Syndrome Research Center,6,6,0.0,0.0,Stanford,CB
Forgotten Childrens Fund,6,6,0.0,0.0,Washington,P
Huntsman Cancer Institute,6,6,0.0,0.0,Utah,LB
NCF YMCA,6,6,0.0,0.0,Florida,S
Hungry Souls ATX,6,6,0.0,0.0,Texas,IOL
Benjamin F. Edwards Investments,6,6,0.0,0.0,Troy,WR
BRADY,6,6,0.0,0.0,NC State,QB
Vita Coco,6,6,0.0,0.0,Coastal Carolina,S
GameChanger Tailgate,5,5,0.0,0.0,Marshall,DL
Sun Day Red,5,5,0.0,0.0,Stanford,QB
Rapsodo Baseball,5,5,0.0,0.0,North Carolina,P
Sota Stick,5,5,0.0,0.0,Minnesota,IOL
Rockwood Alliances,5,5,0.0,0.0,Houston,WR
Falcon Wealth Planning,5,5,0.0,0.0,Arizona State,OT
Game Day Products,5,5,0.0,0.0,UTSA,RB
Ethika,5,5,0.0,0.0,Temple,SG
Evening with The Stars,5,5,0.0,0.0,Kansas State,IOL
Furniture Mall Of Kansas,5,5,0.0,0.0,Kansas State,CG
Sunshine Quality Solutions,5,5,0.0,0.0,LSU,OT
CAMPUS,5,5,0.0,0.0,Florida,QB
Starry,5,5,0.0,0.0,Pittsburgh,SF
Burt Watson Auto Group,5,3,0.0,0.0,Michigan,RB
Flatstick Pub,5,5,0.0,0.0,Washington State,EDGE
Stadium Merch,5,5,0.0,0.0,Eastern Michigan,IOL
Flint Hills Beverage,5,5,0.0,0.0,Kansas State,LB
Legacy Restaurant Group,5,5,0.0,0.0,Kansas,SF
Klutch Athletics by New Balance,5,5,1948693.0,1948693.0,Alabama,SG
Hally Hair,5,5,0.0,0.0,Maryland,DS
Geisinger Health,5,5,0.0,0.0,Penn State,DL
Giant Eagle,5,5,0.0,0.0,Ohio State,LB
Honorarium,5,5,0.0,0.0,Tennessee,LB
San Tan Ford,5,5,0.0,0.0,Arizona State,S
The NIL Shop,5,5,0.0,0.0,Montana State,PF
County Line Church of God,5,5,0.0,0.0,Utah,WR
Rick McGill M.D.,5,5,0.0,0.0,Troy,CG
Salvation Army of Austin,5,5,0.0,0.0,Texas A&M,TE
The Players  NIL,5,5,0.0,0.0,Morgan State,IF
Icy Hot,5,5,0.0,0.0,Florida,S
College Sports Evaluation,5,3,0.0,0.0,Wichita State,OF
Inch & Co.,5,5,0.0,0.0,Penn State,CB
Indiana Wish,5,4,0.0,0.0,Indiana,PF
Inlander Restaurant Week,5,5,0.0,0.0,Gonzaga University,SF
The State College Food Bank,5,5,0.0,0.0,Toledo,LB
Robert Alexander Center for Recovery,5,5,0.0,0.0,Kentucky,PF
Iowa State NIL Store,5,5,0.0,0.0,Iowa State,PF
D1 - West Nashville,5,5,0.0,0.0,Tennessee State,WR
Cava,5,5,0.0,0.0,Georgia,RB
